article_stock_id,article_id,stock_code,published_at,title,description,body_head,url,suggested_event_id,gold_event_id,label_status,label_note,reference_set_type,evaluation_eligible,qa_reason,qa_warning,event_size,event_start_at,event_end_at,split_unit_id,split_unit_size,split_unit_eligible_size,split_unit_event_count,split_unit_article_count,split_unit_start_at,split_unit_end_at
971:005930,971,005930,2026-07-17T04:42:00+00:00,"최태원 ""SK하이닉스 주식 팔지말라...갖고 있으면 우상향할 것"" - 경북도민일보","이어 ""AI 시대가 발전한다는 것은 기억을 어딘가에 저장해야 하는데 이것이 메모리 칩이으로 (AI 성장) 속도가 올라가면 기억할 것이 많아진다""면서 ""메모리는 계속해서 쓰일 수밖에 없고 SK하이닉스, 삼성전자 주가가...","글자크기 설정 기사의 본문 내용은 이 글자크기로 변경됩니다. 이 기사를 공유합니다 [대한상의 제주포럼 AI 대담] ""메모리 수요 기하급수적으로 늘 것 주가, 너무 빨리 오른 현상 적응 과정 미·중 AI 경쟁 속 틈새시장 만들어야"" SK하이닉스 주가가 역대 최고가인 주당 298만원까지 올랐다가 최근 180만원 대까지 떨어진 가운데 최태원 대한상공회의소 회장(",https://hidomin.com/news/articleView.html?idxno=713642,005930_evt_019,005930_gold_016,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,5,2026-07-17T04:42:00+00:00,2026-07-17T13:24:00+00:00,SU_4d7da2af5d,37,36,2,33,2026-07-17T04:42:00+00:00,2026-07-18T00:04:00+00:00
959:005930,959,005930,2026-07-17T05:10:00+00:00,"유시민 “李 필연적 실패”… 경향신문 “유시민, 주장 과하다”","단일종목 레버리지의 경우 삼성전자· SK하이닉스 등 주요 종목의 주가가 오를 경우 더 큰 수익을 기대할 수 있지만, 주가가 하락할 경우 손실폭이 커지기에 고위험 상품으로 분류된다. 언론은 레버리지가 한국 증시를...","▲6월26일 밤 방송된 ‘김어준의 다스뵈이다’ 400회에 출연한 유시민 작가. 사진=유튜브채널 ‘김어준의 다스뵈이다’ 화면 갈무리. 유시민 작가가 이재명 대통령을 향해 “필연적 실패의 길로 가고 있다”고 발언해 더불어민주당 내 반발이 커진 가운데, 경향신문이 유 작가를 향해 “주장이 과했다”고 지적하고 나섰다. 경향신문은 이번 사태의 원인이 된 보완수사권",https://mediatoday.co.kr/news/articleView.html?idxno=335848,005930_evt_030,005930_gold_024,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,1,2026-07-17T05:10:00+00:00,2026-07-17T05:10:00+00:00,SU_bed43f9714,2,2,2,1,2026-07-17T05:10:00+00:00,2026-07-17T05:10:00+00:00
958:005930,958,005930,2026-07-17T05:16:00+00:00,"최태원 ""SK하이닉스 주가, 시간 두면 우상향…팔지 말고 보유""",최태원 대한상공회의소 회장(SK그룹 회장)이 인공지능(AI) 산업의 성장에 따라 메모리 수요가 기하급수적으로 늘어날 것이라며 SK하이닉스 주가의 장기 상승 가능성을 강조했다. 최 회장은 17일 SK하이닉스 주가와 관련해...,"최태원 ""SK하이닉스 주가, 시간 두면 우상향…팔지 말고 보유"" 기사입력 : 2026년07월17일 14:16 최종수정 : 2026년07월17일 14:24 카카오톡 페이스북 트위터 밴드 프린트 ※ 본문 글자 크기 조정 더 작게 작게 보통 크게 더 크게 닫기 ※ 번역할 언어 선택 -- 선택 -- AI 핵심 요약 beta 분석 중... 최태원 회장은 17일 AI",https://newspim.com/news/view/20260717000141,005930_evt_032,005930_gold_016,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,5,2026-07-17T04:42:00+00:00,2026-07-17T13:24:00+00:00,SU_4d7da2af5d,37,36,2,33,2026-07-17T04:42:00+00:00,2026-07-18T00:04:00+00:00
913:005930,913,005930,2026-07-17T07:44:00+00:00,"최태원 ""하이닉스, 샀다 팔지 마라…시간 두면 우상향""","최태원 대한상공회의소 회장이 SK하이닉스 주가에 대해 ""샀다 팔다 하지 말고 가만히 갖고 있으라""며 장기 투자 관점을 제시했다. 미국과 중국의 AI 패권 경쟁 속에서 한국은 '지능 수출' 전략으로 틈새시장을 공략해야...","최태원 대한상의 회장(가운데)과 권석준 성균관대학교 교수(오른쪽), 이재욱 서울대학교 AI연구원장(왼쪽)이 17일 제주 서귀포시 신라호텔에서 열린 ‘제49회 대한상의 제주포럼’에서 '한국경제의 AI 성장을 위한 아젠다'라는 주제로 대담을 하고 있다. photo 대한상공회의소 제공 최태원 대한상공회의소 회장이 SK하이닉스 주가에 대해 ""샀다 팔다 하지 말고",http://weekly.chosun.com/news/articleView.html?idxno=53554,005930_evt_032,005930_gold_016,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,5,2026-07-17T04:42:00+00:00,2026-07-17T13:24:00+00:00,SU_4d7da2af5d,37,36,2,33,2026-07-17T04:42:00+00:00,2026-07-18T00:04:00+00:00
933:005930,933,005930,2026-07-17T06:46:00+00:00,"최태원, “SK하이닉스 주식, 샀다 팔았다 말고 가만히 갖고 계세요” - 퍼블릭타임스","퍼블릭타임스= SK하이닉스 주가가 조정 중인 가운데 최태원 대한상공회의소 회장이 샀다가 팔았다가 하지 말고 진득하게 보유하라고 조언했다. 17일 대한상의에 따르면 최태원 회장은 SK하이닉스 주가와 관련, ""메모리는...","최태원 대한상의 회장(가운데)이 대한상의 제주포럼에서 '한국경제의 AI 성장을 위한 아젠다'라는 주제로 대담을 하고 있다. 대한상의 제공. 연합뉴스 퍼블릭타임스=SK하이닉스 주가가 조정 중인 가운데 최태원 대한상공회의소 회장이 샀다가 팔았다가 하지 말고 진득하게 보유하라고 조언했다. 17일 대한상의에 따르면 최태원 회장은 SK하이닉스 주가와 관련, “메모리",https://public25.com/news/articleView.html?idxno=50888,005930_evt_058,005930_gold_016,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,5,2026-07-17T04:42:00+00:00,2026-07-17T13:24:00+00:00,SU_4d7da2af5d,37,36,2,33,2026-07-17T04:42:00+00:00,2026-07-18T00:04:00+00:00
861:005930,861,005930,2026-07-17T13:24:00+00:00,"최태원 “SK하이닉스, 주식 샀다 팔았다 말고 갖고 있어야” - 인더스트리뉴스","인더스트리뉴스 한원석 기자 최태원 대한상공회의소 회장 겸 SK그룹 회장이 최근 큰 변동성을 보이고 있는 SK하이닉스 주가에 대해 ""시간을 두면 우상향할 것""이라며 장기 보유를 권장하는 한편, 한국의 미래 인공지능(AI)...","최태원 대한상의 회장(가운데)과 권석준 성균관대 교수(오른쪽), 이재욱 서울대 AI연구원장(왼쪽)이 ‘한국경제의 AI 성장을 위한 아젠다’라는 주제로 대담을 하고 있다./사진=대한상의 [인더스트리뉴스 한원석 기자] 최태원 대한상공회의소 회장 겸 SK그룹 회장이 최근 큰 변동성을 보이고 있는 SK하이닉스 주가에 대해 “시간을 두면 우상향할 것”이라며 장기 보",https://industrynews.co.kr/news/articleView.html?idxno=83437,005930_evt_058,005930_gold_016,assistant_confirmed,병합: 동일한 구체적 사건으로 판단,AI-reviewed reference set,true,,,5,2026-07-17T04:42:00+00:00,2026-07-17T13:24:00+00:00,SU_4d7da2af5d,37,36,2,33,2026-07-17T04:42:00+00:00,2026-07-18T00:04:00+00:00
5515:005930,5515,005930,2026-07-20T02:25:00+00:00,[속보] 급락에 코스닥 이어 코스피도 매도 사이드카,"삼성전자(-4.90%), SK하이닉스(-4.83%), SK스퀘어(-3.47%), 현대차 (-6.94%) 등이 일제히 내리고 있다. 코스닥지수도 같은 시각 42.96포인트(5.43%) 내린 748.88을 기록 중이다. 장중 매도 사이드카가 발동된 가운데 투자심리가...",코리아마켓 한경 PREMIUM9 AI를 넘어서는 성공투자 AI 추천 뉴스 팝업 닫기 [속보] 급락에 코스닥 이어 코스피도 매도 사이드카 입력 2026.07.20 11:24 수정 2026.07.20 11:33 기사 공유 공유 글자크기 조절 프린트 김연지 기자 구독하기 구글 검색 선호 출처로 추가 Google 검색에서 한국경제 기사를 더 자주 볼 수 있습니다.,https://hankyung.com/article/2026072041686,005930_evt_1013,005930_gold_046,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00,SU_9970702f12,8,8,2,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00
5497:005930,5497,005930,2026-07-20T02:33:00+00:00,[속보]코스닥 이어 코스피도 매도 사이드카…반도체 투톱 4%↓,"삼성전자와 SK하이닉스 가 나란히 급락하며 지수 하락을 이끌고 있다. 삼성전자는 24만4500원(-4.12%), SK하이닉스 는 176만7천원(-4.07%)에 거래되고 있다. ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종...",16일 서울 중구 하나은행 딜링룸에 코스피 지수가 표시되고 있다. 이날 코스피는 장 초반부터 5% 급락하며 '7천피'를 다시 내줬다. 황진환 기자국내 증시 변동성이 극심한 가운데 코스피와 코스닥 시장에서 잇따라 매도 사이드카가 발동됐다. 한국거래소에 따르면 20일 오전 11시 19분 현재 코스닥지수는 전 거래일보다 5.09% 내린 751.54를 기록하고 있,https://nocutnews.co.kr/news/6550110,005930_evt_1013,005930_gold_046,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00,SU_9970702f12,8,8,2,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00
5494:005930,5494,005930,2026-07-20T02:34:00+00:00,코스닥 이어 코스피도 매도 사이드카 발동,"장중 한때 약보합권까지 낙폭을 축소했지만, 삼성전자와 SK하이닉스 를 중심으로 한 반도체 업종이 재차 낙폭을 키우면서 하방 압력에 무게가 실리고 있다. 한편, 이에 앞선 오전 10시52분께 코스닥 시장에 매도...","[서울=뉴시스] 박영태 기자 = 20일 오전 서울 중구 하나은행 본점 딜링룸 전광판에 코스피가 표시되고 있다. 코스피는 177.02포인트(2.60%) 내린 6643.58 개장했다. 2026.07.20. [email protected] 월드컵 결승전 사상 첫 하프타임쇼… BTS·마돈나·샤키라 등 화려하게 장식 '페란 토레스 결승골' 스페인, 아르헨티나 꺾고",https://newsis.com/view/NISX20260720_0003715067,005930_evt_1013,005930_gold_046,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00,SU_9970702f12,8,8,2,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00
5492:005930,5492,005930,2026-07-20T02:35:00+00:00,[속보] 급락에 코스닥 이어 코스피도 매도 사이드카,"코스피는 장중 전 거래일보다 4% 넘게 내려 6,500선까지 밀렸습니다. 반도체 투톱인 삼성전자와 SK하이닉스 는 4% 넘게 하락하고 있습니다. 코스닥은 장중 5% 넘게 떨어져 750선 근처까지 후퇴했습니다.","브라우저가 video 태그를 지원하지 않습니다. 죄송하지만 다른 브라우저를 사용하여 주십시오. 브라우저가 오디오 태그를 지원하지 않습니다. 닫기 코스피 급락에 코스닥에 이어 매도 사이드카가 발동됐습니다. 코스피는 장중 전 거래일보다 4% 넘게 내려 6,500선까지 밀렸습니다. 반도체 투톱인 삼성전자와 SK하이닉스는 4% 넘게 하락하고 있습니다. 코스닥은 장",http://yonhapnewstv.co.kr/news/MYH20260720113504Mgt,005930_evt_1013,005930_gold_046,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00,SU_9970702f12,8,8,2,4,2026-07-20T02:25:00+00:00,2026-07-20T02:35:00+00:00
