article_stock_id,article_id,stock_code,published_at,title,description,body_head,url,suggested_event_id,gold_event_id,label_status,label_note,reference_set_type,evaluation_eligible,qa_reason,qa_warning,event_size,event_start_at,event_end_at,split_unit_id,split_unit_size,split_unit_eligible_size,split_unit_event_count,split_unit_article_count,split_unit_start_at,split_unit_end_at
988:005930,988,005930,2026-07-17T03:49:00+00:00,"삼성, 취약계층 4만명에 2000억원 푼다 - 전남일보",이는 노사 합의 이후 5조원 사회 기여 확대 약속을 이행하기 위해 진행한 ' 삼성전자 감사 페스티벌'에 이은 2번째 사업이다. 17일 삼성에 따르면 삼성은 포용금융 확대를 위해 2000억원을 삼성미소금융재단에 출연할...,글자크기 설정 기사의 본문 내용은 이 글자크기로 변경됩니다. 삼성전자 서초사옥.연합뉴스 삼성이 금융 취약계층과 영세 자영업자를 금융 지원하기 위한 재원으로 2000억원을 출연한다. 이는 노사 합의 이후 5조원 사회 기여 확대 약속을 이행하기 위해 진행한 ‘삼성전자 감사 페스티벌’에 이은 2번째 사업이다. 17일 삼성에 따르면 삼성은 포용금융 확대를 위해 2,https://jnilbo.com/news/articleView.html?idxno=90000050591,005930_evt_001,005930_gold_001,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,2,2026-07-17T03:49:00+00:00,2026-07-17T05:31:00+00:00,SU_f07b727732,2,2,1,2,2026-07-17T03:49:00+00:00,2026-07-17T05:31:00+00:00
987:005930,987,005930,2026-07-17T03:50:00+00:00,"삼성전자 ""감사페스티벌 배송 지연돼도 상품권 지급 차질없다""","""공급량을 확대해 차질 없이 운영하겠다."" 삼성전자 감사페스티벌이 예상을 뛰어넘는 역대급 판매량을 기록하면서 일부 소비자들 사이에서 배송 지연에 대한 우려가 제기되는 것으로 알려졌다. 이에 삼성전자 는 두...","기자명 김선한 대기자 입력 2026.07.17 12:49 SNS 기사보내기 Email Share Scrap Print 본문 글씨 줄이기 본문 글씨 키우기 이 기사를 공유합니다 온누리 환급금, 예상치 2배인 8000억원…판매 규모 약 4조원 추정 ""1∼2주 지연될 수 있으나 9월 5일 이전 배송되도록 할 것"" 삼성전자 감사 페스티벌[연합뉴스] ""공급량을 확대",https://getnews.co.kr/news/articleView.html?idxno=875401,005930_evt_002,005930_gold_002,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,6,2026-07-17T03:50:00+00:00,2026-07-18T01:40:00+00:00,SU_c1f0e5a6a1,6,6,1,6,2026-07-17T03:50:00+00:00,2026-07-18T01:40:00+00:00
951:005930,951,005930,2026-07-17T05:34:00+00:00,"삼성전자 감사페스티벌 배송 지연돼도 ""상품권 지급 차질없어""","삼성전자 감사페스티벌이 예상을 뛰어넘는 역대급 판매량을 기록한 가운데 일부 소비자들 사이에서 배송 지연에 대한 우려가 제기되고 있습니다. 삼성전자 는 두 달이라는 신청 기한을 둔 만큼, 상품 구입자 모두가...","삼성전자 감사페스티벌이 예상을 뛰어넘는 역대급 판매량을 기록한 가운데 일부 소비자들 사이에서 배송 지연에 대한 우려가 제기되고 있습니다. 삼성전자는 두 달이라는 신청 기한을 둔 만큼, 상품 구입자 모두가 온누리 상품권을 지급받을 수 있도록 공급량을 확대해 차질 없이 운영하겠다는 방침입니다. 17일 업계에 따르면, 삼성전자 감사 페스티벌로 지급될 온누리상품권",http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005881700,005930_evt_002,005930_gold_002,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,6,2026-07-17T03:50:00+00:00,2026-07-18T01:40:00+00:00,SU_c1f0e5a6a1,6,6,1,6,2026-07-17T03:50:00+00:00,2026-07-18T01:40:00+00:00
982:005930,982,005930,2026-07-17T04:00:00+00:00,주담대 3억 제한? 삼성은 5억...반세권에 돈 풀린다,다만 삼성전자 가 최대 5억원 규모의 저금리 사내대출을 검토하면서 동탄 등 일부 지역은 대출 규제 영향을 상대적으로 덜 받을 수 있다는 관측도 나온다. 13일 부동산 업계 등에 따르면 최근 금융권의 주택담보대출 한도...,[파이낸셜뉴스] 은행권이 주택담보대출 한도를 잇달아 축소하면서 반도체 산업단지 인근 이른바 '반세권' 주택시장에도 영향이 미칠지 관심이 쏠린다. 다만 삼성전자가 최대 5억원 규모의 저금리 사내대출을 검토하면서 동탄 등 일부 지역은 대출 규제 영향을 상대적으로 덜 받을 수 있다는 관측도 나온다. 13일 부동산 업계 등에 따르면 최근 금융권의 주택담보대출 한도,http://fnnews.com/news/202607131526529472,005930_evt_003,005930_gold_003,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00,SU_ca82fa1b68,1,1,1,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00
983:005930,983,005930,2026-07-17T04:00:00+00:00,"""티켓 뜯듯 넓어진다""…삼성 '여권형 폴드' 베일 푼다[미리보는 언팩①]",삼성전자 의 하반기 야심작인 차세대 폴더블폰 공개가 초읽기에 들어갔다. 이번 신제품은 옆으로 더 넓어진 새로운 화면 비율을 채택하고 화면 주름을 획기적으로 줄이는 등 기기 형태의 대대적인 혁신에 초점을 맞춘...,등록 2026.07.17 13:00:00 수정 2026.07.17 13:11:23 [서울=뉴시스] 갤럭시Z 폴드8 더미의 모습. (사진=IT 팁스터 아이스유니버스 X 갈무리) 2026.07.13. [email protected] *재판매 및 DB 금지 [서울=뉴시스] 갤럭시 언팩 2026 초대장. (사진=삼성전자 제공) 2026.07.08. [email p,https://newsis.com/view/NISX20260716_0003712450,005930_evt_004,005930_gold_004,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,11,2026-07-17T04:00:00+00:00,2026-07-19T08:06:00+00:00,SU_a744217ebe,11,11,1,11,2026-07-17T04:00:00+00:00,2026-07-19T08:06:00+00:00
984:005930,984,005930,2026-07-17T04:00:00+00:00,"'TV 이후'가 더 중요하다···삼성·LG, 플랫폼 패권 전쟁 - 서울파이낸스","'세계 TV 시장 1위' 자리를 놓고 20년 가까이 이어져 온 삼성전자 와 LG전자의 경쟁이 새로운 국면에 접어들고 있다. 과거에는 화질과 패널, 디자인 등 하드웨어 경쟁이 승부를 갈랐다면 이제는 TV 운영체제(OS), 광고...","글자크기 설정 기사의 본문 내용은 이 글자크기로 변경됩니다. 삼성전자 마이크로RGB TV(왼쪽), LG전자 시그처니 T. (사진=각 사) [서울파이낸스 여용준 기자] '세계 TV 시장 1위' 자리를 놓고 20년 가까이 이어져 온 삼성전자와 LG전자의 경쟁이 새로운 국면에 접어들고 있다. 과거에는 화질과 패널, 디자인 등 하드웨어 경쟁이 승부를 갈랐다면 이제",https://seoulfn.com/news/articleView.html?idxno=633337,005930_evt_005,005930_gold_005,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00,SU_9d334a7b62,1,1,1,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00
985:005930,985,005930,2026-07-17T04:00:00+00:00,"CXMT, 85억달러 IPO로 '메모리 빅3' 도전…HBM·생산능력 확대 승부수","차세대 공정과 고대역폭메모리(HBM) 개발, 생산능력 확충에 대규모 자금을 투입하며 삼성전자 ·SK하이닉스·마이크론으로 이어지는 '메모리 빅3' 구도에 도전장을 내민 것이다. 17일 반도체 업계에 따르면 CXMT는 전날...","▲글로벌 D램 공급업체별 비트 출하량 점유율 전망 (출처=카운터포인트) 중국 D램 업체 창신메모리(CXMT)가 85억달러 규모의 기업공개( IPO )를 발판으로 글로벌 메모리 시장 점유율 확대에 속도를 낸다. 차세대 공정과 고대역폭메모리(HBM) 개발, 생산능력 확충에 대규모 자금을 투입하며 삼성전자·SK하이닉스·마이크론으로 이어지는 '메모리 빅3' 구도에",https://etoday.co.kr/news/view/2604509,005930_evt_006,005930_gold_006,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00,SU_0e8eb6b0e8,1,1,1,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00
986:005930,986,005930,2026-07-17T04:00:00+00:00,제품값에 수리비까지 상승…'칩플레이션'의 역습,"17일 업계에 따르면 삼성전자 는 이달 초 삼성전자 서비스에 공급하는 수리용 자재 가격을 인상했다. 지난 1월에 이어 올해 들어 두 번째다. 모바일경험(MX)사업부 제품의 수리용 자재 가격은 평균 5%, 생활가전(DA)사업부...","AI발 메모리 품귀에 부품값 급등 완제품 원가·서비스 비용까지 연쇄 압박 반도체 호황 이면에 전자업계 비용 부담 ⓒ데일리안AI 이미지 인공지능(AI) 열풍이 불러온 메모리 반도체 호황의 영향이 전자산업 전반으로 번지고 있다. D램과 낸드 가격 급등이 스마트폰과 PC, 가전 등 완제품의 원가 부담을 키운 데 이어 수리용 자재 가격까지 오르면서다. 반도체 업체",https://dailian.co.kr/news/view/1667833?sc=Naver,005930_evt_007,005930_gold_007,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00,SU_c9bd13d518,1,1,1,1,2026-07-17T04:00:00+00:00,2026-07-17T04:00:00+00:00
981:005930,981,005930,2026-07-17T04:10:00+00:00,"용인 반도체 산단, 에너지 공급은 어떻게?","때문에 삼성전자 가 원전 전기의 별도 직접 계약을 요구하는 상황까지 벌어지고 있다”고 전했다. 발표를 마무리하면서 정 전 원장은 “원전이나 LNG 확충이 아니라, 재생에너지 비중이 높은 서남권을 중심으로...","용인 반도체 산단, 에너지 공급은 어떻게? 한전 경제경영연구원 정은호 前 원장 “지역간 전력 공급 불균형 심화 우려” 6월말 정부가 발표한 ‘3대 메가 프로젝트’이후 호남 반도체 클러스터와 함께 용인 반도체 국가산단에 대한 국민적 관심도 높아지고 있다. 그러나 일각에서는 용인 반도체 국가산단에 필요한 전력공급 계획이 현실과 동떨어져 있다는 비판이 제기되고",https://kidd.co.kr/news/246741,005930_evt_008,005930_gold_008,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,1,2026-07-17T04:10:00+00:00,2026-07-17T04:10:00+00:00,SU_9400699966,1,1,1,1,2026-07-17T04:10:00+00:00,2026-07-17T04:10:00+00:00
980:005930,980,005930,2026-07-17T04:20:00+00:00,[수시 2027/숭실대학교] ‘AI 중심대학’으로 교육 판 바꾸다… 130년 역사 위 미래 설계,"숭실대는 이외에도 삼성전자 및 금융권 등 국내 주요 기업들과의 협력을 확대하고 있다. 장성연 입학처장 (사진 제공 = 숭실대) [우리 대학 이렇게 뽑는다] ""수시 1740명 선발… '지능전자공학부' 신설"" 숭실대는...",국내 최초 IT 교육에서 AI 혁신까지… 산업과 연결된 실전형 교육 모델 구축 국가가 선택한 AI 중심대학… 240억 원 투자로 ‘전교생 AI 교육’ 시대 열어 교육과 채용으로 이어지는 실질적 산학협력 체계 구축해 융합형 인재 양성 숭실대 전경 (사진 제공 = 숭실대) [한국대학신문 송아영 기자] 내년 개교 130주년을 맞는 숭실대학교(총장 이윤재)가 인공,https://news.unn.net/news/articleView.html?idxno=594644,005930_evt_009,005930_gold_009,assistant_confirmed,유지: 기존 후보 그룹을 검토 후 유지,AI-reviewed reference set,true,,,1,2026-07-17T04:20:00+00:00,2026-07-17T04:20:00+00:00,SU_4d2b611146,1,1,1,1,2026-07-17T04:20:00+00:00,2026-07-17T04:20:00+00:00
