cluster_id,stock_code,stock_name,factual_title,factual_summary,representative_article,source_count,article_ids,source_urls,gold_label,label_reason
1,005930,삼성전자,"삼성, 포용금융 확대 위해 삼성미소금융재단에 2000억원 출연","삼성전자는 2026년 7월 16일 금융취약계층과 영세 자영업자를 지원하기 위해 삼성미소금융재단에 총 2000억원을 출연한다고 발표했다. 삼성전자는 1500억원을, 삼성생명·삼성화재·삼성카드·삼성증권 등 금융 관계사가 500억원을 공동 출연하며, 이는 5월 노사합의 후 발표한 5년간 5조원 사회 기여 확대 약속의 후속 조치다. 삼성미소금융재단은 출연금을 활용해 무담보·무보증으로 사업운영자금, 창업자금, 긴급생계자금 등을 연 4.5% 이하 저금리로 지원하며, 약 4만명이 수혜를 받을 것으로 예상된다. 이번 출연으로 삼성미소금융재단의 누적 출연금은 3800억원에 달한다.","삼성, 포용금융 확대 위해 2000억원 출연…국민 4만명 지원한다",8,988|953|941|5524|6050|9028|8995|11519,https://jnilbo.com/news/articleView.html?idxno=90000050591|https://news.tvchosun.com/site/data/html_dir/2026/07/17/2026071790104.html|https://kpenews.com/View.aspx?No=4152679|https://biz.heraldcorp.com/article/10813531?ref=naver|https://munhwa.com/article/11603614?ref=naver|https://wikitree.co.kr/articles/1147372|https://itdaily.kr/news/articleView.html?idxno=240476|https://nongmin.com/article/20260720500659,,
2,005930,삼성전자,삼성전자 감사 페스티벌 역대급 판매 및 온누리상품권 8000억원 추산,"삼성전자는 지난달 8일부터 이달 5일까지 자사 제품 구매 고객에게 구매 금액의 20%를 디지털 온누리상품권으로 환급해주는 감사 페스티벌을 진행했다. 행사 기간 판매량은 예상을 크게 상회해 온누리상품권 지급 규모가 당초 계획한 4000억원의 두 배인 약 8000억원 이상으로 추산되며, 이에 따라 제품 판매 규모는 약 4조원에 달하는 것으로 분석된다. 일부 인기 품목인 '갤럭시 S26 울트라' 자급제 모델은 재고 부족으로 배송까지 약 한 달이 소요되고, TV와 PC 등 일부 품목도 예상보다 배송이 늦어질 수 있다. 삼성전자는 9월 5일까지 모든 구매 고객이 제품을 수령할 수 있도록 공급량을 확대하고 갤럭시 S26 시리즈의 7월 생산량을 늘리는 등 수요 대응에 총력을 기울이고 있다.",’감사페스티벌’ 삼성전자 “환급 차질 없게“,14,987|970|965|951|949|911|825|732|728|676|642|6001|7997|7993|11539,https://getnews.co.kr/news/articleView.html?idxno=875401|http://yonhapnewstv.co.kr/news/MYH20260717134125GQL|https://ikbc.co.kr/article/view/kbc202607170029|http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005881700|https://businesspost.co.kr/BP?command=article_view&num=442574|https://industrynews.co.kr/news/articleView.html?idxno=83432|https://hankyung.com/article/2026071713427|https://mk.co.kr/article/12101377|https://segye.com/newsView/20260718505541?OutUrl=naver|https://insight.co.kr/news/563556|https://biz.heraldcorp.com/article/10812486?ref=naver|https://biz.sbs.co.kr/article_hub/20000323347?division=NAVER|http://wowtv.co.kr/NewsCenter/News/Read?articleId=A202607200126&t=NN|https://magazine.hankyung.com/business/article/202607204445b|https://consumuch.com/news/articleView.html?idxno=78580,,
3,005930,삼성전자,"중국 CXMT, 85억달러 규모 IPO로 글로벌 메모리 시장 점유율 확대 및 생산능력 증대 추진","중국 최대 D램 업체 창신메모리(CXMT)는 2026년 7월 27일 상하이증권거래소 커촹반에 상장하며 579억 위안(약 85억5000만 달러)을 조달했다. 공모가는 주당 8.66위안으로, 초과배정옵션 행사 시 최대 666억 위안(약 14조7000억 원)까지 조달 규모가 확대될 전망이다. CXMT는 확보한 자금을 차세대 G5 공정 및 HBM3 개발, 생산능력 확대에 투자할 계획이며, 2027년까지 월 웨이퍼 생산능력을 32만 장에서 42만 장으로 늘리고 2030년까지 2배, 2035년까지 3배 수준으로 확대할 목표를 제시했다. 현재 글로벌 D램 비트 출하량 기준 시장점유율은 약 9%이며, 카운터포인트리서치는 2028년 11%까지 확대될 것으로 전망했다. 한편, 미국 의회는 CXMT와 YMTC의 제품을 미국 기업이 구매하지 못하도록 금지할 것을 트럼프 행정부에 요청했으며, 애플은 CXMT 메모리 채택을 위해 미국 정부와 협의를 진행 중인 것으로 알려졌다.",AI 메모리 수요 폭증&hellip;삼성&middot;SK&middot;마이크론&middot;CXMT '속도전',40,985|922|859|820|814|786|754|744|716|681|636|592|567|516|323|292|290|270|238|184|177|164|161|142|124|119|113|33|5070|5037|5012|6057|5997|7012|7515|7494|7988|8515|8512|8484|8583|9037|9029|8993|9555|9525|10072|10070|10056|10016|10560|10535|10510|10503|10501|11001|11494|12012|11993|12498|12998,https://etoday.co.kr/news/view/2604509|https://biz.heraldcorp.com/article/10811758?ref=naver|https://zdnet.co.kr/view?no=20260717225520|https://ajunews.com/view/20260716141627890|https://edaily.co.kr/news/newspath.asp?newsid=01754806645515832|https://theguru.co.kr/news/article.html?no=104553|http://inews24.com/view/1985962|https://greened.kr/news/articleView.html?idxno=345335|https://aitimes.com/news/articleView.html?idxno=212902|https://hankyung.com/article/2026071699946|https://g-enews.com/view.php?ud=202607181659299546fbbec65dfb_1|https://sedaily.com/article/20068661?ref=naver|https://straightnews.co.kr/news/articleView.html?idxno=307166|https://etoday.co.kr/news/view/2604593|https://mt.co.kr/industry/2026/07/19/2026071613091973762|https://donga.com/news/Economy/article/all/20260719/134321653/1|http://metroseoul.co.kr/article/20260719500151|http://inews24.com/view/1986439|http://fnnews.com/news/202607191458447572|https://mk.co.kr/article/12101737|https://etnews.com/20260719000061|http://ifs.or.kr/bbs/board.php?bo_table=News&wr_id=55930|https://tokenpost.kr/news/breaking/379195|https://sedaily.com/article/20069125?ref=naver|https://sedaily.com/article/20069166?ref=naver|https://sedaily.com/article/20069173?ref=naver|https://g-enews.com/view.php?ud=202607190513317969112616b072_1|https://chosun.com/opinion/correspondent_column/2026/07/19/B6X4A7SUYZDENGVRMUIHROER6Y|https://businesspost.co.kr/BP?command=article_view&num=442616|https://news.knn.co.kr/news/article_sns/1507|http://queen.co.kr/news/articleView.html?idxno=460463|https://news2day.co.kr/article/20260720500084|https://newsis.com/view/NISX20260720_0003714889|https://ebn.co.kr/news/articleView.html?idxno=1716948|https://widedaily.com/news/articleView.html?idxno=297830|https://news.jtbc.co.kr/article/NB12309136?influxDiv=NAVER|https://asiatime.co.kr/article/20260720500179|https://ebn.co.kr/news/articleView.html?idxno=1716973|https://biz.sbs.co.kr/article_hub/20000323356?division=NAVER|http://newstomato.com/ReadNews.aspx?inflow=N&no=1307565|https://betanews.net/article/view/beta202607200076|http://seouleconews.com/news/articleView.html?idxno=92492|https://dt.co.kr/article/12073639?ref=naver|https://kbench.com/?q=node%2F280495|https://newspim.com/news/view/20260720000674|https://joongang.co.kr/article/25446466|https://daily.hankooki.com/news/articleView.html?idxno=1387257|https://zdnet.co.kr/view?no=20260720150435|https://biz.chosun.com/it-science/ict/2026/07/20/VOM2LTMGFBG5FP5XFFHDP7GXQQ|https://edaily.co.kr/news/newspath.asp?newsid=03112726645516488|http://inews24.com/view/1986974|https://mk.co.kr/article/12102531|https://hankyung.com/article/2026072036221|https://newspim.com/news/view/20260720000919|https://newdaily.co.kr/site/data/html/2026/07/20/2026072000052.html|https://womaneconomy.co.kr/news/articleView.html?idxno=256337|https://ajunews.com/view/20260720155126082|http://inews24.com/view/1987021|http://fnnews.com/news/202607201829220009|https://it.donga.com/109215|https://hankyung.com/article/202607205319i,,
4,005930,삼성전자,"삼성전자·LG전자, TV 플랫폼 사업 확대···하드웨어에서 미디어 플랫폼 기업으로 변신","삼성전자는 타이젠(Tizen) OS 기반 '삼성 TV 플러스'를 운영하며 광고와 콘텐츠 사업을 미래 성장축으로 키우고 있다. LG전자는 FAST(광고 기반 무료 스트리밍 TV) 서비스인 'LG채널'의 글로벌 채널 수를 5000개 이상으로 확대하고 서비스 국가를 37개국으로 늘렸다. 양사는 TV를 통해 지속적인 수익을 창출하는 플랫폼 비즈니스에 주력하고 있으며, 이는 글로벌 TV 시장이 성숙 단계에 진입하면서 하드웨어 경쟁에서 플랫폼 경쟁으로 전환되고 있음을 반영한다.","'TV 이후'가 더 중요하다···삼성·LG, 플랫폼 패권 전쟁 - 서울파이낸스",1,984,https://seoulfn.com/news/articleView.html?idxno=633337,,
5,005930,삼성전자,"삼성전자, 하반기 폴더블폰 공개 초읽기…'플렉스 티타늄' 기술 적용 및 화면 비율 확대","삼성전자는 2026년 7월 17일 하반기 야심작인 차세대 폴더블폰 공개가 임박했다고 밝혔다. 신제품은 옆으로 더 넓어진 새로운 화면 비율을 채택하고 화면 주름을 줄이는 '플렉스 티타늄(Flex Titanium)' 디스플레이 기술을 적용할 예정이다. 언팩 행사는 2026년 7월 17일 13시 00분에 등록되었으며, 7월 13일 IT 팁스터 아이스유니버스 X를 통해 갤럭시Z 폴드8 더미의 모습이 공개되었다.","""티켓 뜯듯 넓어진다""…삼성 '여권형 폴드' 베일 푼다[미리보는 언팩①]",1,983,https://newsis.com/view/NISX20260716_0003712450,,
6,005930,삼성전자,"삼성전자, 무주택 임직원 대상 최대 5억원 사내대출 9월 시행...반세권 대출 규제 완화 가능성","삼성전자는 무주택 임직원을 대상으로 최대 5억원 규모의 저금리 사내대출을 9월부터 시행한다고 15일 공지했다. 국민은행은 10일부터 주담대 한도를 3억원 이내로 축소했고, 하나은행은 8월 실행분 주담대 접수를 중단했다. 금융당국은 사내대출에 대해 1순위 근저당권 설정, 원리금 분할상환, 다주택자 및 고가주택 대출 제한, 전용면적 85㎡ 이하 주택 대상 제한 등의 가이드라인을 제시했다. 동탄·기흥·영통 등 반세권 지역은 사내대출로 인해 금융권 주담대 규제 영향을 상대적으로 덜 받을 수 있다는 관측이 나온다.",주담대 3억 제한? 삼성은 5억...반세권에 돈 풀린다,1,982,http://fnnews.com/news/202607131526529472,,
7,005930,삼성전자,"삼성전자, 수리용 자재비 5~9% 인상…AI발 메모리 가격 상승이 전자제품 유지비용까지 확산","삼성전자는 이달 초 삼성전자서비스에 공급하는 수리용 자재 가격을 인상했으며, 이는 1월에 이어 올해 들어 두 번째 인상이다. 모바일경험(MX)사업부 제품 수리용 자재 가격은 평균 5%, 생활가전(DA)사업부 제품은 평균 9% 상승했고, 인상 대상에는 메모리 반도체, 디스플레이 패널, 모터, 컴프레서 등 주요 부품이 포함됐다. AI 데이터센터 투자 확대로 인한 메모리 반도체 공급 부족과 가격 상승이 원인으로 지목되며, 전자제품 수리비에서 부품 비용이 차지하는 비중은 통상 80~90% 수준이다.",제품값에 수리비까지 상승…'칩플레이션'의 역습,3,986|907|830,https://dailian.co.kr/news/view/1667833?sc=Naver|https://asiaa.co.kr/news/articleView.html?idxno=255400|https://it.chosun.com/news/articleView.html?idxno=2023092165938,,
8,005930,삼성전자,용인 반도체 국가산단 전력 공급 계획 및 재생에너지 중심 시스템 구축 필요성,"한전 경제경영연구원 정은호 前 원장은 6월 말 발표된 '3대 메가 프로젝트' 중 용인 반도체 국가산단의 전력계통 확보 필요성을 강조했다. 4기 팹리스 공장의 전력수요는 5.5GW로 예상되며, 자체 LNG 발전과 신안성변전소·도용인변전소 지중선로 연결, 한전 자회사 LNG 발전 및 호남 재생에너지 송전 등을 통해 대응할 전망이다. 정 원장은 LNG 발전 시 연간 약 980만 톤의 온실가스 배출이 예상되며, 지역별 차등 전기요금제 도입 시 용인 지역 도매가격이 전국 평균보다 26~36% 높아질 수 있다고 지적했다. 또한 삼성전자가 원전 전기의 별도 직접 계약을 요구하는 상황까지 벌어지고 있다고 전했다.","용인 반도체 산단, 에너지 공급은 어떻게?",1,981,https://kidd.co.kr/news/246741,,
9,005930,삼성전자,"숭실대, AI 중심대학으로 전환… 8년간 240억 원 지원 및 산업 연계 교육 강화","숭실대학교는 과학기술정보통신부와 정보통신기획평가원(IITP)이 주관하는 'AI중심대학' 사업에 선정되어 2026년부터 2033년까지 8년간 총 240억 원 규모의 지원을 받는다. 대학은 'AI 옴니버시티(Omniversity)'를 비전으로 AI 전공교육 혁신, 전교생 AI 기초교육, AX 융합교육 확대, 대학 간 공동교육, 글로벌 협력 강화 등 5대 전략을 추진한다. 또한 교육부 'AI 첨단산업 인재양성 부트캠프' 사업 운영대학으로 선정되어 기업과 대학이 교육과정을 공동으로 설계하는 실전형 교육 모델을 구축했으며, LG유플러스와의 협력을 통해 교육과 채용으로 이어지는 실질적 산학협력 체계를 마련했다.",[수시 2027/숭실대학교] ‘AI 중심대학’으로 교육 판 바꾸다… 130년 역사 위 미래 설계,1,980,https://news.unn.net/news/articleView.html?idxno=594644,,
10,005930,삼성전자,프랑스 올랑드 전 대통령의 사회주의 정책 및 포퓰리즘이 기업 탈출과 경제 약화를 초래,"프랑수아 올랑드 전 프랑스 대통령은 2012년 사회당 소속으로 제24대 대통령에 당선되었으며, 이비인후과 의사 아버지와 기독교 좌파 성향 어머니 사이에서 태어났다. 그는 파리경영대학, 파리정치대학, 국립행정학교 등 프랑스 최고 엘리트 코스를 이수했다. 올랑드 정부의 사회주의 정책 추진과 포퓰리즘 남발로 인해 프랑스 기업과 부유층 인사들이 해외로 이탈하기 시작했으며, 이로 인해 경제 토양이 약화되었다는 분석이 제시되었다. 이정태 경북대 정치외교학과 교수는 리더의 사상과 정책이 국가 운명에 중대한 영향을 미친다고 지적했다.",[금주의 이슈] 프랑스의 쇠락-리더가 국가 흥망을 좌우한다,1,979,https://imaeil.com/page/view/2026071315402280642,,
